DOWnum,WaterBody,County,Species,YearInfested,YearConfirmed
02-0014,Amelia,Anoka,flowering rush,2014,1968
02-0135,Bass,Anoka,flowering rush,2014,1968
66-0008,Cannon,Rice,flowering rush,2007,1972
03-0363,Curfman (Deadshot Bay),Becker,flowering rush,2007,1976
03-0381,Detroit,Becker,flowering rush,2007,1976
03-0475,Melissa,Becker,flowering rush,2007,1985
16-0001,Superior,Multiple,spiny waterflea,1995,1987
27-0133,Minnetonka,Hennepin,Eurasian watermilfoil,1995,1987
10-0015,Virginia,Carver,Eurasian watermilfoil,1995,1988
19-0446,Lac Lavon,Dakota,Eurasian watermilfoil,1995,1988
27-0040,Lake of the Isles,Hennepin,Eurasian watermilfoil,1995,1988
27-0085,Libbs,Hennepin,Eurasian watermilfoil,1995,1988
27-0138,Peavey,Hennepin,Eurasian watermilfoil,1999,1988
27-0141,Tanager,Hennepin,Eurasian watermilfoil,1999,1988
55-0008,George,Olmsted,Eurasian watermilfoil,1995,1988
82-0167,White Bear,Washington,Eurasian watermilfoil,1995,1988
02-0003,Otter,Anoka,Eurasian watermilfoil,1995,1989
03-0359,Sallie,Becker,flowering rush,2007,1989
10-0009,Minnewashta,Carver,Eurasian watermilfoil,1995,1989
10-0019,Bavaria,Carver,Eurasian watermilfoil,1995,1989
10-0041,Zumbra,Carver,Eurasian watermilfoil,1995,1989
10-0044,Auburn,Carver,Eurasian watermilfoil,1995,1989
10-0059,Waconia,Carver,Eurasian watermilfoil,1995,1989
16-0001,Superior,Multiple,zebra mussel,1995,1989
27-0031,Calhoun,Hennepin,Eurasian watermilfoil,1995,1989
27-0104,Medicine,Hennepin,Eurasian watermilfoil,1995,1989
27-0176,Independence,Hennepin,Eurasian watermilfoil,1995,1989
27-0181,Dutch,Hennepin,Eurasian watermilfoil,1995,1989
27-0192,Rebecca,Hennepin,Eurasian watermilfoil,1995,1989
62-0002,Bald Eagle,Ramsey,Eurasian watermilfoil ,1995,1989
62-0038,Vadnais ,Ramsey,Eurasian watermilfoil,1995,1989
86-0252,Clearwater,Wright,Eurasian watermilfoil,1995,1989
,Minnehaha Creek,Hennepin,Eurasian watermilfoil,1995,1989
02-0084,Crooked,Anoka,Eurasian watermilfoil,1995,1990
10-0002,Riley,Carver,Eurasian watermilfoil,1995,1990
10-0018,Schutz,Carver,Eurasian watermilfoil,1995,1990
13-0041,Green,Chisago,Eurasian watermilfoil,1995,1990
13-0047,Ellen,Chisago,Eurasian watermilfoil,1999,1990
27-0039,Cedar,Hennepin,Eurasian watermilfoil,1995,1990
27-0047,Bush,Hennepin,Eurasian watermilfoil,1995,1990
27-0102,Schmidt,Hennepin,Eurasian watermilfoil,1995,1990
27-0139,Forest,Hennepin,Eurasian watermilfoil,1995,1990
27-0191,Sarah,Hennepin,Eurasian watermilfoil,1995,1990
33-0028,Knife,Kanabec,Eurasian watermilfoil,1995,1990
69-0372,Island,St. Louis,spiny waterflea,1995,1990
69-0491,Fish,St. Louis,spiny waterflea,1995,1990
86-0233,Sugar,Wright,Eurasian watermilfoil,1995,1990
,Cloquet River from Island Lake to the St. Louis River,St. Louis,spiny waterflea,1995,1990
10-0006,Lotus,Carver,Eurasian watermilfoil,1995,1991
10-0053,Pierson,Carver,Eurasian watermilfoil,1995,1991
10-0056,Stone,Carver,Eurasian watermilfoil,1995,1991
19-0027,Crystal,Dakota,Eurasian watermilfoil,1995,1991
27-0016,Harriet,Hennepin,Eurasian watermilfoil,1995,1991
27-0038,Brownie,Hennepin,Eurasian watermilfoil,1995,1991
27-0067,Bryant,Hennepin,Eurasian watermilfoil,1995,1991
27-0107,Parker’s,Hennepin,Eurasian watermilfoil,1995,1991
27-0179,Little Long,Hennepin,Eurasian watermilfoil,1995,1991
62-0075,Island,Ramsey,Eurasian watermilfoil,1995,1991
70-0026,Lower Prior,Scott,Eurasian watermilfoil,1995,1991
86-0053,Pulaski,Wright,Eurasian watermilfoil,1995,1991
86-0114,Waverly,Wright,Eurasian watermilfoil,1995,1991
,"Niccum’s Pond (located in the NW 1/4 of the SW 1/4 of S10, T117N, R24W)",Hennepin,Eurasian watermilfoil,1995,1991
02-0654,Cenaiko,Anoka,Eurasian watermilfoil,1995,1992
02-0688,Unnamed Lake in Springbrook Nature Center,Anoka,Eurasian watermilfoil,1995,1992
13-0069,Rush,Chisago,Eurasian watermilfoil,1995,1992
18-0034,Bay,Crow Wing,Eurasian watermilfoil,1995,1992
19-0005,"Mississippi River, Pool 2, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
21-0257,Oscar ,Douglas,Eurasian watermilfoil,1995,1992
25-0001,Pepin,Multiple,zebra mussel,2012,1992
25-0017,"Mississippi River, Pool 3, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
27-0003,"Mississippi River, Pool 1, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
27-0111,Eagle (includes Pike),Hennepin,Eurasian watermilfoil,1995,1992
27-0137,Christmas,Hennepin,Eurasian watermilfoil,1995,1992
27-0160,Long,Hennepin,Eurasian watermilfoil,1995,1992
28-0001,"Mississippi River, Pool 9, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
28-0005,"Mississippi River, Pool 8, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
62-0001,Silver,Ramsey,Eurasian watermilfoil ,1995,1992
62-0082,Wabasso,Ramsey,Eurasian watermilfoil,1995,1992
79-0001,"Mississippi River, Pool 5, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
79-0005,"Mississippi River, Pool 4, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
82-0001,St. Croix River,Washington,Eurasian watermilfoil,1995,1992
85-0001,"Mississippi River, Pool 7, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
85-0002,"Mississippi River, Pool 6, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
85-0013,"Mississippi River, Pool 5A, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
86-0106,Little Waverly,Wright,Eurasian watermilfoil,1995,1992
27-0118,Fish,Hennepin,Eurasian watermilfoil,1995,1993
86-0023,Beebe,Wright,Eurasian watermilfoil,1995,1993
86-0182,Rock,Wright,Eurasian watermilfoil,1995,1993
86-0284,Augusta,Wright,Eurasian watermilfoil,1995,1993
,"Swan (located in the NW 1/4 of the NW 1/4 of S4, T117N, R23W)",Hennepin,Eurasian watermilfoil,1995,1993
27-0018,Hiawatha,Hennepin,Eurasian watermilfoil,1995,1994
77-0150,Sauk,Todd,Eurasian watermilfoil,1995,1994
10-0012,Ann,Carver,Eurasian watermilfoil,1995,1995
27-0019,Nokomis,Hennepin,Eurasian watermilfoil,1995,1995
27-0045,Arrowhead,Hennepin,Eurasian watermilfoil,1996,1995
27-0071,Round,Hennepin,Eurasian watermilfoil,1996,1995
31-0191,South Twin,Itasca,flowering rush,2007,1995
62-0007,Gervais,Ramsey,Eurasian watermilfoil,1995,1995
62-0010,Keller,Ramsey,Eurasian watermilfoil,1995,1995
62-0028,Sucker,Ramsey,Eurasian watermilfoil,1996,1995
,Spoon Creek between Keller and Phalen lakes,Ramsey,Eurasian watermilfoil,1999,1995
19-0028,Twin Lakes,Dakota,Eurasian watermilfoil,1997,1996
27-0037,Wirth,Hennepin,Eurasian watermilfoil,1997,1996
27-0116,Rice,Hennepin,Eurasian watermilfoil,1997,1996
27-0184,Whaletail,Hennepin,Eurasian watermilfoil,1997,1996
61-0072,Gilchrist,Pope,Eurasian watermilfoil,1997,1996
,St. Croix River downstream of the dam at Taylors Falls ,Multiple,bighead carp,2012,1996
10-0226,Firemen’s,Carver,Eurasian watermilfoil,1997,1997
18-0212,Ruth,Crow Wing,Eurasian watermilfoil,1997,1997
62-0012,Round,Ramsey,Eurasian watermilfoil,1997,1997
62-0013,Phalen,Ramsey,Eurasian watermilfoil,1997,1997
86-0156,Mary,Wright,Eurasian watermilfoil,1997,1997
,Sauk River from Juergens to Sauk,Todd,flowering rush,2007,1997
02-0091,George,Anoka,Eurasian watermilfoil,1998,1998
19-0026,Marion,Dakota,Eurasian watermilfoil,1998,1998
27-0098,Bass,Hennepin,Eurasian watermilfoil,1998,1998
48-0002,Mille Lacs,Mille Lacs,Eurasian watermilfoil,1999,1998
61-0130,Minnewaska,Pope,Eurasian watermilfoil,1998,1998
66-0010,Wells,Rice,flowering rush,2007,1998
73-0312,Unnamed (wetland along Clearwater River),Multiple,Eurasian watermilfoil,1999,1998
82-0092,Powers,Washington,Eurasian watermilfoil,1998,1998
82-0159,Forest,Washington,flowering rush,2007,1998
86-0242,Weigand,Wright,Eurasian watermilfoil,1999,1998
,Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple,Eurasian watermilfoil,1999,1998
,"Clearwater River downstream of Clearwater, including 500 feet upstream into its tributaries",Wright,Eurasian watermilfoil,1999,1998
02-0006,Centerville,Anoka,Eurasian watermilfoil,1999,1999
31-0370,McKinney,Itasca,Eurasian watermilfoil,1999,1999
31-0372,Ice,Itasca,Eurasian watermilfoil,1999,1999
47-0046,Washington,Meeker,Eurasian watermilfoil,1999,1999
47-0068,Stella,Meeker,Eurasian watermilfoil,1999,1999
69-0503,Horseshoe,St. Louis,Eurasian watermilfoil,2000,1999
69-1306,Gilbert Pit (Ore-be-gone),St. Louis,Eurasian watermilfoil,1999,1999
86-0090,Buffalo,Wright,Eurasian watermilfoil,1999,1999
02-0004,Peltier,Anoka,Eurasian watermilfoil,2000,2000
19-0075,Schultz,Dakota,Eurasian watermilfoil,2000,2000
27-0900,Unnamed wetland,Hennepin,Eurasian watermilfoil,2000,2000
30-0136,Green,Isanti,Eurasian watermilfoil,2000,2000
31-0190,North Twin,Itasca,Eurasian watermilfoil,2000,2000
34-0079,Green,Kandiyohi,Eurasian watermilfoil,2000,2000
55-0004,Zumbro,Olmsted,zebra mussel,2000,2000
62-0006,Kohlmans,Ramsey,Eurasian watermilfoil,2000,2000
62-0054,McCarron,Ramsey,Eurasian watermilfoil,2000,2000
62-0056,Owasso,Ramsey,Eurasian watermilfoil,2000,2000
62-0061,Turtle,Ramsey,Eurasian watermilfoil,2000,2000
62-0073,Snail,Ramsey,Eurasian watermilfoil,2000,2000
70-0072,Upper Prior,Scott,Eurasian watermilfoil,2000,2000
86-0107,Deer,Wright,Eurasian watermilfoil,2000,2000
86-0108,Goose,Wright,Eurasian watermilfoil,2000,2000
,Ripple River between Bay and Tame Fish,Crow Wing,Eurasian watermilfoil,2000,2000
,"Zumbro River downstream of Zumbro, including 500 feet upstream into its tributaries",Wabasha,zebra mussel,2000,2000
,St. Croix River downstream of the St.Croix Boomsite Recreation Area at river mile 25.4,Washington,zebra mussel,2001,2000
10-0042,Parley,Carver,Eurasian watermilfoil,2001,2001
10-0045,Steiger,Carver,Eurasian watermilfoil,2002,2001
10-0048,Wasserman,Carver,Eurasian watermilfoil,2001,2001
10-0121,Eagle,Carver,Eurasian watermilfoil,2001,2001
27-0144,Galpin,Hennepin,Eurasian watermilfoil,2001,2001
34-0251,Norway,Kandiyohi,Eurasian watermilfoil,2002,2001
62-0271,Pond Six,Ramsey,Eurasian watermilfoil,2002,2001
66-0052,Cedar,Rice,Eurasian watermilfoil,2001,2001
70-0095,O’Dowd,Scott,Eurasian watermilfoil,2002,2001
70-0120,Thole,Scott,Eurasian watermilfoil,2002,2001
82-0153,Sunset,Washington,Eurasian watermilfoil,2001,2001
86-0273,French,Wright,Eurasian watermilfoil,2002,2001
18-0352,Ossawinnamakee,Crow Wing,Eurasian watermilfoil,2004,2002
19-0451,Sunset Pond,Dakota,Eurasian watermilfoil,2004,2002
27-0070,Mitchell,Hennepin,Eurasian watermilfoil,2004,2002
40-0063,German,Le Sueur,Eurasian watermilfoil,2004,2002
40-0092,East Jefferson (DOW 40-0092-01),Le Sueur,Eurasian watermilfoil,2004,2002
47-0134,Ripley,Meeker,Eurasian watermilfoil,2004,2002
71-0055,Little Elk,Sherburne,Eurasian watermilfoil,2004,2002
86-0183,Fish,Wright,Eurasian watermilfoil,2004,2002
02-0042,Coon,Anoka,Eurasian watermilfoil,2004,2003
10-0084,Burandt,Carver,Eurasian watermilfoil,2004,2003
16-0633,Saganaga,Cook,spiny waterflea,2004,2003
18-0352,Ossawinnamakee,Crow Wing,zebra mussel,2004,2003
19-0446,Lac Lavon,Dakota,brittle naiad,2007,2003
25-0001,Pepin,Multiple,bighead carp,2012,2003
27-0014,Powderhorn,Hennepin,Eurasian watermilfoil,2008,2003
27-0664,Wolfe,Hennepin,Eurasian watermilfoil,2004,2003
49-0079,Alexander,Morrison,Eurasian watermilfoil,2004,2003
58-0081,Sand,Pine,Eurasian watermilfoil,2004,2003
62-0231,Loeb,Ramsey,Eurasian watermilfoil,2004,2003
77-0089,Little Birch,Todd,Eurasian watermilfoil,2004,2003
86-0088,Mink,Wright,Eurasian watermilfoil,2004,2003
86-0120,Ramsey,Wright,Eurasian watermilfoil,2004,2003
86-0199,Howard,Wright,Eurasian watermilfoil,2004,2003
86-0223,Indian,Wright,Eurasian watermilfoil,2004,2003
,Pelican Brook from the source at Ossawinnamakee to the Pine River,Crow Wing,zebra mussel,2004,2003
,"Pine River, from 500 feet upstream of the mouth of Pelican Brook to the Mississippi River, including 500 feet upstream into its tributaries",Crow Wing,zebra mussel,2006,2003
07-0079,Lura,Blue Earth,Eurasian watermilfoil,2005,2004
10-0013,Susan,Carver,Eurasian watermilfoil,2005,2004
11-0203,Leech,Cass,Eurasian watermilfoil,2005,2004
16-0041,Pine,Cook,spiny waterflea,2005,2004
16-0077,Greenwood,Cook,spiny waterflea,2005,2004
16-0147,Flour,Cook,spiny waterflea,2005,2004
27-1130,Arbor West,Hennepin,Eurasian watermilfoil,2006,2004
27-1140,"Arbor North (NW 1/4, SW 1/4, S23, T119N, R22W)",Hennepin,Eurasian watermilfoil,2006,2004
58-0119,Cross,Pine,Eurasian watermilfoil,2005,2004
62-0016,Beaver,Ramsey,Eurasian watermilfoil,2005,2004
62-0279,Pond Three,Ramsey,Eurasian watermilfoil,2006,2004
82-0052,Big Marine,Washington,Eurasian watermilfoil,2005,2004
,"Snake River between Pokegama and Cross, including 500 feet upstream into its tributaries",Pine,Eurasian watermilfoil,2005,2004
,"Arbor South (S 1/2, SW 1/4, S23, T119N, R22W)",Hennepin,Eurasian watermilfoil,2006,2004
,"Unnamed gravel pit (located in S 1/2 of S14, T41N, R21W)",Pine,Eurasian watermilfoil,2005,2004
13-0035,North Lindstrom,Chisago,Eurasian watermilfoil,2006,2005
18-0145,Rice,Crow Wing,zebra mussel,2006,2005
19-0025,Keller,Dakota,Eurasian watermilfoil,2006,2005
19-0033,Earley,Dakota,Eurasian watermilfoil,2006,2005
19-0348,Unnamed pond (Valley Pond) in Valley Park,Dakota,Eurasian watermilfoil,2006,2005
27-0001,Snelling,Hennepin,Eurasian watermilfoil,2006,2005
47-0016,Wolf,Meeker,Eurasian watermilfoil,2006,2005
47-0050,Manuella,Meeker,Eurasian watermilfoil,2006,2005
48-0002,Mille Lacs,Mille Lacs,zebra mussel,2006,2005
58-0142,Pokegama,Pine,Eurasian watermilfoil,2006,2005
62-0024,Birch,Ramsey,Eurasian watermilfoil,2006,2005
71-0067,Eagle,Sherburne,Eurasian watermilfoil,2006,2005
81-0014,Clear,Waseca,Eurasian watermilfoil,2006,2005
82-0106,Elmo,Washington,Eurasian watermilfoil,2006,2005
82-0118,Long,Washington,Eurasian watermilfoil,2006,2005
,"Mississippi River, from 500 feet upstream of the mouth of the Pine River in Crow Wing County to Upper St. Anthony Falls, including 500 feet upstream into its tributaries",Multiple,zebra mussel,2006,2005
,Rum River including 500 feet upstream into its tributaries ,Multiple,zebra mussel,2007,2005
10-0007,Lucy,Carver,Eurasian watermilfoil,2007,2006
13-0068,Fish,Chisago,Eurasian watermilfoil,2007,2006
16-0001,Superior,Multiple,Eurasian watermilfoil,2007,2006
19-0128,Quarry,Dakota,Eurasian watermilfoil,2007,2006
27-0017,Lakewood Cemetery,Hennepin,Eurasian watermilfoil,2007,2006
27-0042,Twin,Hennepin,Eurasian watermilfoil,2007,2006
30-0072,Long,Isanti,Eurasian watermilfoil,2007,2006
69-0693,Namakan,St. Louis,spiny waterflea,2007,2006
69-0694,Rainy,St. Louis,spiny waterflea,2007,2006
82-0054,Bone,Washington,Eurasian watermilfoil,2007,2006
82-0163,Clear,Washington,Eurasian watermilfoil,2007,2006
82-0168,Mud,Washington,Eurasian watermilfoil,2007,2006
82-0502,Camp Galilee,Washington,Eurasian watermilfoil,2007,2006
85-0011,Winona,Winona,Eurasian watermilfoil,2007,2006
86-0139,Little Mary,Wright,Eurasian watermilfoil,2007,2006
86-0188,Emma,Wright,Eurasian watermilfoil,2007,2006
16-0143,Devil Track,Cook,spiny waterflea,2008,2007
16-0356,Gunflint,Cook,spiny waterflea,2007,2007
18-0361,Kimball,Crow Wing,Eurasian watermilfoil,2007,2007
30-0135,Spectacle,Isanti,Eurasian watermilfoil,2007,2007
31-0190,North Twin,Itasca,flowering rush,2007,2007
60-0217,Union,Polk,Eurasian watermilfoil,2007,2007
62-0028,Sucker,Ramsey,zebra mussel,2007,2007
62-0038,Vadnais,Ramsey,zebra mussel,2007,2007
62-0046,Pleasant,Ramsey,zebra mussel,2007,2007
62-0049,Langton,Ramsey,Eurasian watermilfoil,2008,2007
69-0608,Little Vermilion,St. Louis,spiny waterflea,2007,2007
69-0616,Crane,St. Louis,spiny waterflea,2007,2007
69-0617,Sand Point,St. Louis,spiny waterflea,2007,2007
69-0845,Kabetogama,St. Louis,spiny waterflea,2007,2007
70-0018,Cate's,Scott,Eurasian watermilfoil,2007,2007
70-0050,McMahon,Scott,Eurasian watermilfoil,2007,2007
71-0081,Mitchell,Sherburne,Eurasian watermilfoil,2008,2007
71-0082,Big,Sherburne,Eurasian watermilfoil,2007,2007
82-0090,Wilmes,Washington,Eurasian watermilfoil,2007,2007
82-0130,Long,Washington,Eurasian watermilfoil,2008,2007
86-0134,Maple (includes Upper Maple and Mud),Wright,Eurasian watermilfoil,2007,2007
,Rainy River from Rainy Lake to Lake of the Woods,Multiple,spiny waterflea,2007,2007
01-0062,Big Sandy,Aitkin,flowering rush,2009,2008
03-0377,Mill (Mill Pond),Becker,flowering rush,2009,2008
03-0473,Buck,Becker,flowering rush,2009,2008
10-0047,Kelser's Pond,Carver,Eurasian watermilfoil,2009,2008
10-0052,Reitz,Carver,Eurasian watermilfoil,2008,2008
10-0095,Swede,Carver,Eurasian watermilfoil,2008,2008
11-0147,Winnibigoshish,Cass,faucet snail,2009,2008
13-0027,South Center,Chisago,Eurasian watermilfoil,2009,2008
13-0032,North Center,Chisago,Eurasian watermilfoil,2008,2008
18-0242,Upper Mission,Crow Wing,Eurasian watermilfoil,2008,2008
18-0243,Lower Mission,Crow Wing,Eurasian watermilfoil,2008,2008
28-0005,"Mississippi River, Pool 8",Multiple,silver carp,2012,2008
31-0227,Holman,Itasca,flowering rush,2009,2008
40-0002,Upper Sakatah,Le Sueur,flowering rush,2009,2008
40-0031,Tetonka,Le Sueur,flowering rush,2009,2008
40-0056,Ray's,Le Sueur,Eurasian watermilfoil,2009,2008
58-0067,Sturgeon,Pine,Eurasian watermilfoil,2008,2008
69-0224,Lac La Croix,St. Louis,spiny waterflea,2009,2008
69-0470,Loon,St. Louis,spiny waterflea,2009,2008
70-0153,Unnamed wetland,Scott,Eurasian watermilfoil,2009,2008
82-0101,DeMontreville,Washington,Eurasian watermilfoil,2009,2008
85-0001,"Mississippi River, Pool 7",Multiple,silver carp,2012,2008
86-0279,West Sylvia,Wright,Eurasian watermilfoil,2008,2008
86-0281,Caroline,Wright,Eurasian watermilfoil,2009,2008
09-0008,Chub,Carlton,Eurasian watermilfoil,2009,2009
11-0059,Washburn,Cass,Eurasian watermilfoil,2009,2009
11-0190,Town Line,Cass,Eurasian watermilfoil,2009,2009
16-0026,Little John ,Cook,spiny waterflea,2009,2009
18-0440-04,Louise Mine Pit,Crow Wing,Eurasian watermilfoil,2009,2009
19-0003,Rebecca,Dakota,zebra mussel,2009,2009
19-0057,Fish,Dakota,Eurasian watermilfoil,2009,2009
19-0065,Holland,Dakota,Eurasian watermilfoil,2009,2009
21-0052,Geneva,Douglas,zebra mussel,2009,2009
21-0056,Le Homme Dieu,Douglas,zebra mussel,2009,2009
21-0057,Carlos,Douglas,zebra mussel,2009,2009
27-0133,Minnetonka,Hennepin,flowering rush,2009,2009
28-0001,"Mississippi River, Pool 9",Multiple,bighead carp,2012,2009
28-0005,"Mississippi River, Pool 8",Multiple,bighead carp,2012,2009
29-0157,Upper Twin,Hubbard,faucet snail,2009,2009
34-0217,Florida,Kandiyohi,Eurasian watermilfoil,2009,2009
47-0096,Little Mud,Meeker,Eurasian watermilfoil,2009,2009
48-0002,Mille Lacs,Mille Lacs,spiny waterflea,2009,2009
56-0760,Lizzie,Otter Tail,zebra mussel,2009,2009
56-0761,Little Pelican,Otter Tail,zebra mussel,2009,2009
56-0768,Fish,Otter Tail,zebra mussel,2009,2009
56-0770,Bass,Otter Tail,zebra mussel,2009,2009
56-0786,Pelican,Otter Tail,zebra mussel,2009,2009
66-0029,Fox,Rice,Eurasian watermilfoil,2009,2009
66-0038,French,Rice,Eurasian watermilfoil,2009,2009
69-0490,Pike,St. Louis,zebra mussel,2009,2009
70-0017,McColl,Scott,Eurasian watermilfoil,2009,2009
70-0026,Lower Prior,Scott,zebra mussel,2009,2009
70-0072,Upper Prior,Scott,zebra mussel,2009,2009
77-0150,Sauk,Todd,flowering rush,2009,2009
80-0030,Lower Twin,Wadena,faucet snail,2009,2009
82-0021,Long,Washington,Eurasian watermilfoil,2009,2009
85-0013,"Mississippi River, Pool 5A",Multiple,bighead carp,2012,2009
86-0123,North Twin,Wright,Eurasian watermilfoil,2009,2009
86-0192,Round,Wright,Eurasian watermilfoil,2009,2009
,Minnehaha Creek,Hennepin,flowering rush,2009,2009
,"Long Prairie River, including 500 feet upstream into its tributaries ",Multiple,zebra mussel,2009,2009
,"Shell River, from Upper Twin to Crow Wing River, including 500 feet upstream into its tributaries ",Multiple,faucet snail,2009,2009
02-0007,Marshan,Anoka,Eurasian watermilfoil,2010,2010
02-0048,South Coon,Anoka,Eurasian watermilfoil,2010,2010
07-0044,Madison,Blue Earth,Eurasian watermilfoil,2010,2010
11-0305,Gull,Cass,zebra mussel,2010,2010
13-0012,Chisago,Chisago,Eurasian watermilfoil,2010,2010
13-0028,South Lindstrom,Chisago,Eurasian watermilfoil,2010,2010
16-0025,Royal (on the Royal River),Cook,spiny waterflea,2010,2010
16-0034,South Fowl,Cook,spiny waterflea,2010,2010
16-0036,North Fowl,Cook,spiny waterflea,2010,2010
18-0002,Long (Tame Fish),Crow Wing,Eurasian watermilfoil,2010,2010
18-0373,Round,Crow Wing,zebra mussel,2010,2010
19-0153,Unnamed wetland (Heine Pond),Dakota,Eurasian watermilfoil,2010,2010
21-0054,Victoria,Douglas,zebra mussel,2009,2010
21-0080,Darling,Douglas,zebra mussel,2009,2010
21-0102,Brophy ,Douglas,zebra mussel,2011,2010
27-0071,Round,Hennepin,brittle naiad,2010,2010
27-0133,Minnetonka,Hennepin,zebra mussel,2010,2010
31-0020,Hart,Itasca,flowering rush,2007,2010
34-0062,Calhoun,Kandiyohi,Eurasian watermilfoil,2010,2010
40-0092,Middle Jefferson (DOW 40-0092-04),Le Sueur,Eurasian watermilfoil,2010,2010
47-0119,Minnie-Belle,Meeker,Eurasian watermilfoil,2010,2010
62-0046,Pleasant,Ramsey,Eurasian watermilfoil,2010,2010
66-0039,Mazaska,Rice,Eurasian watermilfoil,2010,2010
69-0118,Burntside,St. Louis,spiny waterflea,2010,2010
86-0031,Pelican,Wright,Eurasian watermilfoil,2010,2010
86-0217,Granite,Wright,Eurasian watermilfoil,2010,2010
86-0227,Cedar,Wright,Eurasian watermilfoil,2010,2010
,Leech Lake River between Mud Lake and Mississippi River,Cass,faucet snail,2010,2010
,Pigeon River downstream of South Fowl,Cook,spiny waterflea,2010,2010
,Minnehaha Creek between Minnetonka and Nokomis,Hennepin,zebra mussel,2010,2010
,"Mississippi River, from the Knutson Dam downstream to Lake Winnibigoshish, and between Lake Winnibigoshish and the confluence of the main channel of the Mississippi River and White Oak Lake branch of the Mississippi River in the SE 1/4 of the NW 1/4 of Section 13, Township 144N, Range 25W, including 500 feet upstream into its tributaries",Multiple,faucet snail,2009,2010
,Crow Wing River downstream of the confluence with the Long Prairie River to the Mississippi River ,Multiple,zebra mussel,2009,2010
18-0038,Clearwater,Crow Wing,Eurasian watermilfoil,2011,2011
19-0067,Thomas,Dakota,Eurasian watermilfoil,2012,2011
19-0456,Cobblestone,Dakota,Eurasian watermilfoil,2012,2011
21-0076,Irene,Douglas,zebra mussel,2012,2011
21-0103,Cowdry (Cowdrey),Douglas,zebra mussel,2011,2011
28-0001,"Mississippi River, Pool 9",Multiple,silver carp,2012,2011
29-0085,Second Crow Wing,Hubbard,faucet snail,2011,2011
29-0086,First Crow Wing,Hubbard,faucet snail,2011,2011
56-0360,Rose,Otter Tail,zebra mussel,2011,2011
56-0915,Prairie,Otter Tail,zebra mussel,2009,2011
66-0027,Circle,Rice,Eurasian watermilfoil,2011,2011
73-0015,Otter ,Stearns,Eurasian watermilfoil,2011,2011
73-0249,Sylvia,Stearns,Eurasian watermilfoil,2011,2011
82-0094,Colby,Washington,Eurasian watermilfoil,2012,2011
86-0140,Silver,Wright,Eurasian watermilfoil,2011,2011
86-0168,Locke,Wright,Eurasian watermilfoil,2011,2011
86-0288,John,Wright,Eurasian watermilfoil,2011,2011
,"Unnamed gravel pit (located in S16, T108, R20W)",Steele,Eurasian watermilfoil,2012,2011
03-0230,"Unnamed pond located in S14 and S15, T142, R39W",Becker,faucet snail,2012,2012
03-0231,"Unnamed pond located in S15 T142N, R39W",Becker,faucet snail,2012,2012
03-1272,"Unnamed pond located in the NW 1/4 of NE 1/4 of S22, T142N, R39W ",Becker,faucet snail,2012,2012
07-0054,Ballantyne,Blue Earth,Eurasian watermilfoil,2013,2012
10-0088,Hydes,Carver,Eurasian watermilfoil,2014,2012
11-0147,Winnibigoshish,Cass,zebra mussel,2013,2012
